param,best_fit,MAP,median,q05,q95
spc.Z,0.2574554240591198,0.2367819951217874,0.24164016935090474,0.19331156962448431,0.2767799836227134
spc.dI_max_lrv,1.9000952620435387,1.8187310304110755,1.920477358068263,1.221485003070681,2.699003059830103
spc.k_M_emb,0.13528368662833692,0.128483942778803,0.15283446572609743,0.04089391779540309,0.21746548955192935
spc.eta_AS_emb,0.7509173668837817,0.6513836811974782,0.6766109055897485,0.42230854174514837,0.9185927692043896
spc.H_j1,11.368921312793741,10.343984080059165,16.686723461633733,9.675917053260656,25.19338055787218
spc.gamma,0.8489440634319833,0.7327366022934415,0.6990369469334549,0.4282930608355847,0.8832862832659439
spc.k_J_emb,0.0025097231826298923,0.021952944315601686,0.00748525330001421,0.0007004749821574568,0.025671240637663285
spc.kappa_emb,0.7342757566145808,0.7500590967455412,0.7164331636764812,0.5867199126765531,0.8139735761312014
spc.watercontent_larvae,0.9424621702541075,0.9381519895180174,0.9425322464831601,0.9364379745504395,0.9434025463619484
spc.watercontent_juveniles,0.8651726419750221,0.8409234910987041,0.851424199960694,0.8256247118376064,0.8779964630462768
spc.time_since_birth,19.34747774054945,18.324614835311298,20.21282516234252,18.233964320938266,21.772509554436976
