param,best_fit,median,q05,q95
spc.Z,0.19718173678486592,0.1915000435232852,0.18150818225106216,0.25484599570287414
spc.dI_max_lrv,1.1770860217108254,1.4570618921596508,1.098078178792351,1.5956748869714434
spc.k_M_emb,0.10116150127467113,0.13870406585905823,0.11914209151647047,0.22911258192734846
spc.eta_AS_emb,0.6806146135637972,0.7580100160998973,0.6821951618489874,0.8588412136597213
spc.H_j1,12.222418848742805,15.957287177538984,7.107241820110546,20.480391121128743
spc.gamma,0.3206010217648655,0.34181678553600126,0.23932545805954272,0.3632129297744458
spc.k_J_emb,0.024695027662516158,0.024778504036319537,0.0010167432248703962,0.025438999410811063
spc.kappa_emb,0.7867330839057292,0.752257140371899,0.7160708022169096,0.9385852148189735
spc.watercontent_larvae,0.9331117031891705,0.9332594616023814,0.9331410063632259,0.9379575929022183
spc.watercontent_juveniles,0.8538246791048035,0.8587786562536034,0.8530521912427849,0.8687340988652992
spc.time_since_birth,24.368356904206145,19.40360472837685,17.712511039886454,22.192008235056967
spc.delta_k_M_mt,0.9967929180265029,0.7787146691229988,0.37670724200319083,0.9392579673080441
